score_min,score_max,edge_score,score_median,total_edges,cut_edges,cut_rate,bin_left,bin_right
0.0,2.871287,1.315805494312942,1.285714,3253,224,0.06885951429449738,-0.001,2.873
2.877331,5.745455,4.401884866376969,4.436131,1841,234,0.12710483432916894,2.873,5.746
5.746262,8.617338,7.169775186046512,7.16507,1806,286,0.1583610188261351,5.746,8.619
8.620874,11.492272,10.002909413953487,9.967086,1505,410,0.2724252491694352,8.619,11.492
11.49735,14.36193,12.858664789976133,12.832283,1257,275,0.21877486077963404,11.492,14.366
14.367722,17.23848,15.69088196091954,15.643868,870,189,0.21724137931034482,14.366,17.239
17.253036,20.097941,18.577867650994573,18.533394,553,145,0.26220614828209765,17.239,20.112
20.119254,22.974547,21.610243769767443,21.677222999999998,430,112,0.26046511627906976,20.112,22.985
22.993303,25.85257,24.453017640243903,24.4261875,492,130,0.26422764227642276,22.985,25.858
25.868028,28.728247,27.329929277641277,27.360477,407,122,0.29975429975429974,25.858,28.731
28.750099,31.593939,30.18490954567308,30.1692615,416,102,0.24519230769230768,28.731,31.604
31.60529,34.463841,33.044798602777774,33.023582,360,105,0.2916666666666667,31.604,34.477
34.480227,37.345771,35.82669560855263,35.869226499999996,304,101,0.33223684210526316,34.477,37.35
37.358041,40.218345,38.77226478369906,38.784149,319,100,0.31347962382445144,37.35,40.224
40.227254,43.089239,41.73764003133903,41.879016,351,110,0.31339031339031337,40.224,43.097
43.097317,45.963705,44.586017493939394,44.631751,330,103,0.31212121212121213,43.097,45.97
45.987258,48.835987,47.47436310429448,47.5407185,326,115,0.35276073619631904,45.97,48.843
48.843804,51.700287,50.24946330259366,50.228235,347,105,0.3025936599423631,48.843,51.716
51.7174,54.587321,53.16960883737024,53.151866,289,92,0.31833910034602075,51.716,54.589
54.594739,57.456495,55.97111071314741,55.919286,251,91,0.36254980079681276,54.589,57.462
57.470782,60.333976,58.87598334051724,58.817047,232,85,0.36637931034482757,57.462,60.335
60.335765,63.195256,61.67761975303644,61.575212,247,94,0.3805668016194332,60.335,63.208
63.214245,66.077534,64.5662128579235,64.509354,183,59,0.3224043715846995,63.208,66.082
66.091437,68.922216,67.50289318238993,67.441534,159,61,0.3836477987421384,66.082,68.955
68.960455,71.815541,70.16605920325203,70.060121,123,40,0.3252032520325203,68.955,71.828
71.844376,74.695195,73.2442551443299,72.991394,97,22,0.2268041237113402,71.828,74.701
74.707577,77.554661,76.19362753846154,76.38138699999999,104,24,0.23076923076923078,74.701,77.574
77.585571,80.420983,79.01347198888888,79.1387915,90,19,0.2111111111111111,77.574,80.447
80.4477,83.307113,81.95768483132531,82.160981,83,18,0.21686746987951808,80.447,83.32
83.324759,86.073232,84.82055691836734,84.76525649999999,98,21,0.21428571428571427,83.32,86.193
86.249152,88.818576,87.54921987142858,87.4916805,70,17,0.24285714285714285,86.193,89.066
89.080548,91.925194,90.48741115942029,90.360959,69,19,0.2753623188405797,89.066,91.94
92.031081,94.784238,93.36762523287672,93.302674,73,14,0.1917808219178082,91.94,94.813
94.836838,97.681684,96.283427015625,96.3478615,64,16,0.25,94.813,97.686
97.69293,100.451521,99.13264624675324,99.323854,77,16,0.2077922077922078,97.686,100.559
100.559537,103.248505,101.94214222388061,102.119568,67,14,0.208955223880597,100.559,103.432
103.521981,106.241773,104.74518091666667,104.76290549999999,60,12,0.2,103.432,106.305
106.334267,109.149911,107.52341896078431,107.278738,51,7,0.13725490196078433,106.305,109.178
109.180461,112.043765,110.78049578431373,111.082861,51,13,0.2549019607843137,109.178,112.051
112.0538,114.905638,113.30921054347826,113.06914499999999,46,6,0.13043478260869565,112.051,114.925
114.97408,117.777261,116.4133153255814,116.360069,43,6,0.13953488372093023,114.925,117.798
117.798122,120.498181,119.19949443333333,119.476314,60,13,0.21666666666666667,117.798,120.671
120.70486,123.520926,122.0823953695652,122.09115600000001,46,9,0.1956521739130435,120.671,123.544
123.628911,126.400925,124.78275290196079,124.77288,51,9,0.17647058823529413,123.544,126.417
126.437267,129.147633,127.61759161702128,127.627414,47,11,0.23404255319148937,126.417,129.29
129.386072,132.149951,130.60173261290322,130.490903,31,6,0.1935483870967742,129.29,132.163
132.166391,135.020389,133.61722214705884,133.6756315,34,8,0.23529411764705882,132.163,135.036
135.21887,137.753729,136.39208875,136.3325165,20,6,0.3,135.036,137.909
137.991406,140.607654,139.175507375,139.2429705,24,1,0.041666666666666664,137.909,140.783
140.821866,143.526667,142.015809,142.067019,21,6,0.2857142857142857,140.783,143.656
143.831441,146.528115,145.15803353846152,145.1922935,26,6,0.23076923076923078,143.656,146.529
146.617027,149.377434,148.08853629166666,147.95313800000002,24,6,0.25,146.529,149.402
149.524879,152.196078,150.80345895833332,150.8364255,24,7,0.2916666666666667,149.402,152.275
152.398706,154.690728,153.6662542727273,153.81205,22,6,0.2727272727272727,152.275,155.148
155.148754,157.982543,156.61584870588234,156.7571,17,3,0.17647058823529413,155.148,158.021
158.73044,160.771027,159.59551508333334,159.3950735,12,2,0.16666666666666666,158.021,160.894
160.918206,162.95105,161.8363251111111,161.551537,9,4,0.4444444444444444,160.894,163.767
163.799574,166.118078,164.95755354545454,164.822407,11,2,0.18181818181818182,163.767,166.641
167.286636,168.907577,168.0971065,168.0971065,2,0,0.0,166.641,169.514
170.301334,172.386763,171.45797566666667,171.68583,3,1,0.3333333333333333,169.514,172.387
